Code_commune_INSEE;Nom_commune;Code_postal;Ligne_5;Libellé_d_acheminement;coordonnees_gps
01004;AMBERIEU EN BUGEY;01500;;AMBERIEU EN BUGEY;45.9608475114,5.3729257777
01008;AMBUTRIX;01500;;AMBUTRIX;45.9367134524,5.3328092349
01015;ARBOYS EN BUGEY;01300;ST BOIS;ARBOYS EN BUGEY;45.7237621545,5.65263086429
01017;ARGIS;01230;;ARGIS;45.9337182132,5.48251100314
01019;ARMIX;01510;;ARMIX;45.8541838459,5.58357838695
01022;ARTEMARE;01510;;ARTEMARE;45.8695891748,5.69065283943
01033;VALSERHONE;01200;CHATILLON EN MICHAILLE;VALSERHONE;46.1067901755,5.83202736464
01036;VALROMEY SUR SERAN;01260;VIEU;VALROMEY SUR SERAN;45.8847475883,5.65115788055
01044;BILLIAT;01200;;BILLIAT;46.0791346715,5.76591818163
01047;BLYES;01150;;BLYES;45.8469686113,5.25166055884
01051;BOLOZON;01450;;BOLOZON;46.1960338503,5.47095075411
01053;BOURG EN BRESSE;01000;;BOURG EN BRESSE;46.2051520382,5.24602125501
01054;BOURG ST CHRISTOPHE;01800;MARFOZ;BOURG ST CHRISTOPHE;45.8861934456,5.14349196896
01064;BRIORD;01470;;BRIORD;45.7708330939,5.48537461884
01080;CHAMPDOR CORCELLES;01110;CHAMPDOR;CHAMPDOR CORCELLES;46.0198844188,5.60008759722
01084;CHANOZ CHATENAY;01400;;CHANOZ CHATENAY;46.1861812234,5.02807719246
01090;CHATENAY;01320;;CHATENAY;46.0259402155,5.2048590395
01093;CHATILLON SUR CHALARONNE;01400;;CHATILLON SUR CHALARONNE;46.1232390685,4.95810003714
01100;CHEIGNIEU LA BALME;01510;;CHEIGNIEU LA BALME;45.8227204334,5.6050023969
01104;CHEZERY FORENS;01200;;CHEZERY FORENS;46.222573373,5.87248105275
01107;CLEYZIEU;01230;;CLEYZIEU;45.902146623,5.43272695486
01108;COLIGNY;01270;;COLIGNY;46.3866637865,5.3308227014
01109;COLLONGES;01550;;COLLONGES;46.1419227898,5.90040256654
01114;CONFORT;01200;;CONFORT;46.1543700156,5.83319395258
01138;CULOZ;01350;;CULOZ;45.8559966843,5.78398308932
01143;DIVONNE LES BAINS;01220;;DIVONNE LES BAINS;46.3756333495,6.1158647611
01146;DOMPIERRE SUR CHALARONNE;01400;;DOMPIERRE SUR CHALARONNE;46.1415406621,4.90141714714
01147;DOMSURE;01270;;DOMSURE;46.4244066427,5.29313479651
01156;FARAMANS;01800;;FARAMANS;45.9104942091,5.1249258559
01157;FAREINS;01480;;FAREINS;46.020997974,4.7620080898
01166;FRANS;01480;;FRANS;45.9939065077,4.78033196905
01173;GEX;01170;;GEX;46.3471891747,6.04650555568
